PK,SK,itemName,description,itemCategory,itemType,isAvailable,sizeName_1,price_1,sizeName_2,price_2,sizeName_3,price_3,sizeName_4,price_4
MENU,ITEM#dal-tadka,Dal Tadka,"Yellow lentils tempered with ghee, spices, and herbs.",Entree,Curry,TRUE,Shallow Tray,40,Medium Tray,55,Half Tray,80,Full Tray,105
MENU,ITEM#dondakaya-vepudu-with-nuts,Dondakaya Vepudu with Nuts (Dry),Stir-fried ivy gourd with a crunchy peanut and spice mix.,Entree,Curry,TRUE,Shallow Tray,50,Medium Tray,65,Half Tray,90,Full Tray,120
MENU,ITEM#garlic-naan,Garlic Naan,Soft flatbread topped with garlic and herbs.,Breads,Bread,TRUE,Per Piece,3.5,,,,,
MENU,ITEM#gobi-65,Gobi 65,Crispy cauliflower florets tossed in a famous spicy and tangy red sauce.,Appetizer,65,TRUE,Shallow Tray,35,Medium Tray,45,Half Tray,60,Full Tray,80
MENU,ITEM#gobi-manchurian,Gobi Manchurian,"Fried cauliflower florets in a flavorful, savory Manchurian sauce.",Appetizer,Manchurian,TRUE,Shallow Tray,35,Medium Tray,45,Half Tray,60,Full Tray,80
MENU,ITEM#gobi-pepper-fry,Gobi Pepper Fry,"Cauliflower florets sautéed with cracked black pepper, onions, and bell peppers.",Appetizer,Pepper,TRUE,Shallow Tray,35,Medium Tray,45,Half Tray,60,Full Tray,80
MENU,ITEM#gongura-dal,Gongura Dal,A tangy lentil curry made with sour gongura (roselle) leaves.,Entree,Curry,TRUE,Shallow Tray,45,Medium Tray,60,Half Tray,85,Full Tray,110
MENU,ITEM#gongura-paneer-biryani,Gongura Paneer Biryani,A tangy biryani made with paneer and gongura (roselle) leaves.,Biryani & Pulav,Biryani,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#gongura-paneer-pulav,Gongura Paneer Pulav,A tangy pulav made with paneer and gongura (roselle) leaves.,Biryani & Pulav,Pulav,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#gongura-veg-biryani,Gongura Veg Biryani,A tangy biryani made with vegetables and gongura (roselle) leaves.,Biryani & Pulav,Biryani,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#gongura-veg-pulav,Gongura Veg Pulav,A tangy pulav made with vegetables and gongura (roselle) leaves.,Biryani & Pulav,Pulav,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#gulab-jamun,Gulab Jamun,"Soft, berry-sized milk solid balls soaked in a rose-flavored sugar syrup.",Dessert,Sweet,TRUE,Shallow Tray,40,Medium Tray,55,Half Tray,75,Full Tray,100
MENU,ITEM#gutti-vankaya-biryani,Gutti Vankaya Biryani,Biryani layered with flavorful stuffed eggplants.,Biryani & Pulav,Biryani,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#gutti-vankaya-curry,Gutti Vankaya Curry,"Stuffed eggplant curry, a specialty from Andhra cuisine.",Entree,Curry,TRUE,Shallow Tray,55,Medium Tray,70,Half Tray,95,Full Tray,130
MENU,ITEM#gutti-vankaya-pulav,Gutti Vankaya Pulav,Pulav cooked with flavorful stuffed eggplants.,Biryani & Pulav,Pulav,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#ice-cream,Ice Cream,"Classic ice cream, available in various flavors.",Dessert,Sweet,TRUE,Per Scoop,3,,,,,
MENU,ITEM#jackfruit-biryani,Jackfruit Biryani,"Biryani made with raw jackfruit, which has a texture similar to meat.",Biryani & Pulav,Biryani,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#jackfruit-pulav,Jackfruit Pulav,"Pulav made with raw jackfruit, which has a texture similar to meat.",Biryani & Pulav,Pulav,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,140
MENU,ITEM#kadai-paneer,Kadai Paneer,Paneer cooked in a traditional kadai with bell peppers and ground spices.,Entree,Curry,TRUE,Shallow Tray,55,Medium Tray,70,Half Tray,95,Full Tray,130
MENU,ITEM#kaju-mushroom,Kaju Mushroom,"Cashews and mushrooms in a creamy, rich, and mildly sweet gravy.",Entree,Curry,TRUE,Shallow Tray,55,Medium Tray,70,Half Tray,95,Full Tray,130
MENU,ITEM#kaju-paneer,Kaju Paneer,A rich curry made with cashews and paneer in a creamy sauce.,Entree,Curry,TRUE,Shallow Tray,55,Medium Tray,70,Half Tray,95,Full Tray,130
MENU,ITEM#kaju-paneer-biryani,Kaju Paneer Biryani,A rich biryani with cashews and paneer.,Biryani & Pulav,Biryani,TRUE,Shallow Tray,60,Medium Tray,75,Half Tray,100,Full Tray,2000
